Year,Id,State,Tetanus_Toxoid_Reduced_Diphtheria_Toxoid_Or_Acellular_Pertussis,Tetanus_Toxoid_Reduced_Diphtheria_Toxoid_Acellular_Pertussis,One_Dose_Meningococcal_Conjugate,One_Dose_Human_Papilloma_Virus_Female,Two_Dose_Human_Papilloma_Virus_Female,Three_Dose_Human_Papilloma_Virus_Female,Three_Dose_Human_Papilloma_Virus_Series_Completion_Female,One_Dose_Human_Papilloma_Virus_Male,Two_Dose_Human_Papilloma_Virus_Male,Three_Dose_Human_Papilloma_Virus_Male,Three_Dose_Human_Papilloma_Virus_Series_Completion_Male
2014,11,Dist. of Columbia,86.4(å±5.3),81.4(å±5.9),93.5(å±2.8),75.2(å±9.4),67.8(å±10.3),56.9(å±10.9),76.7(å±10.8),68.1(å±9.5),54.3(å±10.9),34.5(å±11.0),57.1(å±14.4)
2014,12,Florida,93.3(å±3.5),90.7(å±4.2),72.2(å±6.7),57.2(å±10.4),39.6(å±10.0),28.5(å±9.1),53.9(å±14.6),41.0(å±10.1),30.0(å±9.5),17.5(å±8.1),50.8(å±17.9)
2014,13,Georgia,87.5(å±4.5),86.1(å±4.8),74.9(å±6.1),65.4(å±9.1),56.3(å±9.5),47.1(å±9.7),73.6(å±10.2),41.2(å±9.0),28.0(å±7.8),21.0(å±7.2),56.2(å±14.2)
2014,15,Hawaii,85.4(å±4.4),82.3(å±4.8),77.7(å±5.2),60.4(å±8.6),49.3(å±8.7),38.0(å±8.4),66.5(å±11.1),56.5(å±8.6),47.1(å±8.8),30.9(å±8.5),62.0(å±12.1)
2014,16,Idaho,80.7(å±5.5),70.8(å±6.4),78.1(å±5.8),59.4(å±10.2),54.2(å±10.2),38.3(å±9.9),67.7(å±12.7),32.0(å±8.7),22.8(å±7.9),17.2(å±6.9),60.6(å±16.5)
2014,17,Illinois,94.4(å±2.0),91.9(å±2.4),77.1(å±4.2),64.4(å±6.5),58.0(å±6.7),47.7(å±6.9),76.9(å±7.6),44.7(å±6.6),34.2(å±6.3),22.6(å±5.7),59.5(å±9.7)
2014,18,Indiana,90.1(å±3.9),88.6(å±4.1),90.0(å±3.9),61.4(å±8.5),54.3(å±8.9),44.4(å±9.0),74.0(å±10.9),23.2(å±6.9),17.0(å±5.9),12.8(å±5.1),61.4(å±16.9)
2014,19,Iowa,80.1(å±6.1),76.7(å±6.4),64.4(å±6.9),59.5(å±9.9),52.5(å±9.9),37.6(å±9.3),67.7(å±11.9),30.2(å±8.8),26.7(å±8.5),18.7(å±7.3),64.3(å±16.8)
2014,20,Kansas,84.3(å±5.1),79.8(å±5.6),65.1(å±6.5),38.3(å±9.5),30.4(å±8.7),24.8(å±8.0),69.8(å±15.0),32.8(å±8.6),23.5(å±7.7),19.5(å±7.4),62.4(å±16.4)
2014,21,Kentucky,89.5(å±4.1),85.5(å±4.8),78.2(å±5.7),52.1(å±9.5),45.1(å±9.4),37.5(å±9.2),74.5(å±11.7),23.7(å±8.0),17.5(å±7.2),13.3(å±6.6),63.8(å±19.9)
2014,22,Louisiana,94.7(å±2.5),93.8(å±2.8),91.8(å±3.4),53.2(å±9.5),43.8(å±9.2),38.4(å±9.0),73.7(å±11.3),44.7(å±9.2),32.2(å±8.6),21.5(å±7.6),53.6(å±14.4)
2014,23,Maine,85.8(å±4.6),85.4(å±4.7),73.6(å±5.7),66.8(å±8.1),52.9(å±8.7),43.0(å±8.6),75.9(å±9.8),53.1(å±9.0),42.5(å±8.8),27.5(å±7.6),60.5(å±12.8)
2014,24,Maryland,89.5(å±4.5),85.0(å±5.3),86.5(å±4.9),57.9(å±9.9),52.6(å±10.0),39.4(å±9.7),70.3(å±12.8),46.9(å±9.7),37.3(å±9.4),24.5(å±8.6),59.0(å±15.2)
2014,25,Massachusetts,96.0(å±2.6),93.2(å±3.4),92.1(å±3.3),69.0(å±8.5),62.5(å±9.0),49.5(å±9.2),74.4(å±10.5),54.3(å±8.5),46.2(å±8.6),27.3(å±7.7),64.1(å±11.8)
2014,26,Michigan,82.1(å±5.1),79.3(å±5.4),90.7(å±4.0),58.0(å±9.1),50.9(å±9.3),40.9(å±9.1),73.5(å±11.9),39.8(å±9.5),31.9(å±9.1),22.1(å±8.2),59.5(å±14.9)
2014,27,Minnesota,89.9(å±4.5),87.2(å±5.0),75.5(å±6.0),67.0(å±9.4),53.9(å±10.3),42.5(å±10.3),67.4(å±12.5),43.9(å±9.9),36.6(å±9.8),13.6(å±7.0),35.2(å±16.0)
2014,28,Mississippi,71.1(å±6.3),70.8(å±6.3),46.0(å±6.5),45.8(å±9.5),30.6(å±8.7),24.6(å±8.4),54.5(å±13.8),26.5(å±8.0),16.2(å±7.0),NA,31.0(å±16.6)
2014,29,Missouri,87.8(å±4.3),86.1(å±4.6),63.3(å±6.5),47.5(å±9.2),36.3(å±8.8),28.3(å±8.2),62.2(å±13.7),27.9(å±8.4),20.1(å±7.6),11.3(å±5.7),47.9(å±19.0)
2014,30,Montana,86.5(å±4.6),84.7(å±4.7),60.2(å±6.5),57.2(å±9.2),51.0(å±9.2),42.9(å±9.1),79.6(å±8.6),33.3(å±9.2),19.1(å±7.6),13.0(å±6.4),45.8(å±18.4)
2014,31,Nebraska,85.6(å±5.0),82.2(å±5.4),74.1(å±5.8),59.6(å±9.1),51.2(å±9.4),43.3(å±9.5),74.5(å±11.5),39.5(å±9.1),31.0(å±8.8),22.8(å±7.8),60.2(å±15.0)
2014,32,Nevada,89.2(å±3.5),87.6(å±3.8),66.5(å±5.9),54.2(å±8.6),43.5(å±8.5),32.5(å±8.2),60.9(å±11.3),43.4(å±9.0),28.3(å±8.2),15.7(å±6.0),46.9(å±15.2)
2014,33,New Hampshire,95.5(å±2.4),94.4(å±2.6),90.6(å±3.2),71.0(å±7.2),61.2(å±7.9),50.1(å±8.4),75.3(å±8.9),56.1(å±7.8),46.9(å±7.9),33.0(å±7.6),65.7(å±10.9)
2014,34,New Jersey,95.3(å±2.8),90.1(å±4.4),94.9(å±3.2),48.0(å±9.8),39.9(å±9.6),34.5(å±9.3),76.6(å±13.0),35.5(å±9.4),26.7(å±8.7),21.2(å±8.4),62.9(å±16.8)
2014,35,New Mexico,88.7(å±4.6),83.3(å±5.3),75.1(å±5.6),59.0(å±8.9),48.7(å±9.1),39.9(å±8.9),71.0(å±11.5),42.8(å±9.3),33.2(å±8.9),23.3(å±8.1),58.8(å±15.2)
2014,36,New York,92.9(å±2.6),91.5(å±2.8),79.6(å±4.2),58.8(å±7.4),47.2(å±7.5),40.1(å±7.3),72.1(å±9.4),49.8(å±6.8),38.2(å±6.7),28.5(å±6.3),63.9(å±9.8)
2014,37,North Carolina,92.6(å±3.7),92.3(å±3.7),74.1(å±5.6),71.1(å±8.1),60.0(å±9.0),54.0(å±9.2),78.9(å±9.6),45.2(å±8.9),31.9(å±8.4),20.9(å±7.3),50.8(å±14.4)
2014,38,North Dakota,94.2(å±3.2),92.1(å±4.0),91.8(å±3.3),60.9(å±9.4),48.7(å±9.6),41.7(å±9.4),75.8(å±11.2),37.6(å±9.0),32.1(å±8.4),25.3(å±7.8),71.7(å±14.3)
2014,39,Ohio,85.0(å±4.6),83.0(å±4.8),73.7(å±5.4),61.0(å±8.4),47.3(å±8.8),35.2(å±8.3),60.0(å±12.0),36.8(å±8.1),29.3(å±7.7),23.3(å±7.3),69.8(å±12.5)
2014,40,Oklahoma,84.7(å±4.4),82.6(å±4.7),70.8(å±5.8),65.3(å±8.6),50.8(å±9.3),36.4(å±9.1),56.1(å±11.7),43.2(å±8.9),30.2(å±8.2),19.9(å±7.1),49.4(å±14.4)
2014,41,Oregon,89.7(å±4.0),88.0(å±4.2),68.4(å±6.0),64.6(å±8.7),51.7(å±9.2),43.1(å±9.1),72.4(å±10.8),36.9(å±8.4),23.0(å±7.0),12.3(å±4.8),39.4(å±13.8)
2014,42,Pennsylvania,94.4(å±2.5),93.0(å±2.7),95.2(å±1.9),66.8(å±7.4),57.9(å±8.0),48.2(å±8.1),77.6(å±9.6),47.4(å±7.9),35.9(å±7.4),26.0(å±6.7),59.3(å±12.2)
2014,44,Rhode Island,94.7(å±2.9),92.4(å±3.4),94.1(å±3.2),76.0(å±7.7),67.8(å±8.2),53.7(å±8.5),75.8(å±8.7),69.0(å±7.5),56.8(å±8.1),42.9(å±7.9),71.9(å±9.5)
2014,45,South Carolina,74.8(å±6.0),72.6(å±6.2),67.3(å±6.3),52.1(å±9.5),46.5(å±9.5),35.9(å±9.1),73.0(å±12.2),29.4(å±8.5),22.5(å±7.8),16.1(å±6.8),71.5(å±16.1)
2014,46,South Dakota,76.1(å±5.9),75.0(å±5.9),57.0(å±6.6),61.0(å±9.4),44.0(å±9.5),33.1(å±8.8),60.4(å±12.9),34.4(å±9.1),28.4(å±8.8),23.5(å±8.5),71.9(å±15.2)
2014,47,Tennessee,88.3(å±4.2),86.0(å±4.5),74.0(å±5.8),47.8(å±9.8),39.4(å±9.6),20.1(å±6.7),43.3(å±13.4),30.5(å±8.5),19.4(å±7.2),14.0(å±6.6),61.5(å±17.3)
2014,48,Texas,89.5(å±3.0),88.2(å±3.1),88.6(å±3.0),50.7(å±7.0),44.2(å±6.9),33.9(å±6.5),70.5(å±9.5),36.6(å±6.4),26.0(å±5.8),17.7(å±5.2),53.7(å±11.3)
2014,0,US National,89.8(å±0.8),87.6(å±0.9),79.3(å±1.1),60.0(å±1.9),50.3(å±1.9),39.7(å±1.9),69.3(å±2.4),41.7(å±1.8),31.4(å±1.7),21.6(å±1.6),57.8(å±3.0)
2014,49,Utah,88.4(å±3.9),84.8(å±4.5),66.9(å±5.9),59.2(å±8.3),40.0(å±8.5),26.0(å±7.3),48.5(å±12.1),28.6(å±8.0),19.6(å±6.8),12.4(å±5.5),50.4(å±17.8)
2014,50,Vermont,94.9(å±3.1),93.4(å±3.3),81.3(å±5.1),63.4(å±8.9),55.8(å±9.2),49.8(å±9.2),80.2(å±9.7),50.5(å±9.3),40.5(å±9.1),30.5(å±8.4),68.7(å±12.6)
2014,51,Virginia,94.4(å±3.3),91.2(å±3.9),72.5(å±6.6),59.2(å±10.4),51.1(å±10.5),35.9(å±9.7),64.7(å±13.8),36.3(å±10.5),29.7(å±9.9),22.5(å±9.4),75.9(å±15.4)
2014,53,Washington,89.4(å±4.0),88.5(å±4.1),82.1(å±4.9),65.8(å±8.8),54.1(å±9.3),43.8(å±9.4),73.5(å±10.3),53.8(å±8.8),41.8(å±8.8),24.6(å±7.9),50.0(å±13.0)
2014,54,West Virginia,79.6(å±5.7),77.9(å±5.8),78.9(å±5.6),58.0(å±9.4),48.3(å±9.3),40.0(å±9.0),70.9(å±11.5),42.7(å±8.9),28.8(å±8.0),23.5(å±7.7),60.8(å±14.1)
2014,55,Wisconsin,94.1(å±3.6),93.3(å±3.7),73.8(å±6.2),61.0(å±9.8),52.1(å±10.0),40.9(å±9.9),67.7(å±11.7),49.3(å±9.4),39.3(å±9.5),23.6(å±8.1),58.6(å±15.7)
2014,56,Wyoming,90.1(å±3.4),89.1(å±3.5),55.6(å±5.7),50.3(å±8.1),42.4(å±8.0),33.6(å±7.6),68.9(å±10.9),29.3(å±7.4),19.3(å±6.6),12.2(å±5.5),50.5(å±17.1)
