Year,Id,State,Tetanus_Toxoid_Reduced_Diphtheria_Toxoid_Or_Acellular_Pertussis,Tetanus_Toxoid_Reduced_Diphtheria_Toxoid_Acellular_Pertussis,One_Dose_Meningococcal_Conjugate,One_Dose_Human_Papilloma_Virus_Female,Two_Dose_Human_Papilloma_Virus_Female,Three_Dose_Human_Papilloma_Virus_Female,Three_Dose_Human_Papilloma_Virus_Series_Completion_Female,One_Dose_Human_Papilloma_Virus_Male,Two_Dose_Human_Papilloma_Virus_Male,Three_Dose_Human_Papilloma_Virus_Male,Three_Dose_Human_Papilloma_Virus_Series_Completion_Male
2011,50,Vermont,93.0(å±3.0),90.1(å±3.3),65.7(å±5.8),63.0(å±8.0),NA,50.1(å±8.8),85.9(å±9.6),NA,NA,NA,NA
2011,51,Virginia,83.4(å±5.4),77.9(å±5.7),61.8(å±6.1),46.9(å±9.6),NA,29.8(å±8.8),70.0(å±14.6),NA,NA,NA,NA
2011,53,Washington,84.1(å±5.2),75.0(å±6.3),69.4(å±6.4),66.5(å±8.9),NA,40.0(å±9.0),65.6(å±11.5),8.9(å±4.9),NA,NA,NA
2011,54,West Virginia,68.6(å±5.6),60.1(å±6.0),54.9(å±6.0),50.6(å±9.2),NA,28.6(å±8.1),58.7(å±14.3),6.9(å±3.4),NA,NA,NA
2011,55,Wisconsin,95.0(å±3.0),89.7(å±4.1),74.5(å±5.7),65.7(å±8.4),NA,46.2(å±9.8),80.3(å±12.9),NA,NA,NA,NA
2011,56,Wyoming,90.8(å±4.4),86.2(å±4.9),60.8(å±8.1),60.9(å±10.5),NA,40.9(å±10.9),68.1(å±14.3),NA,NA,NA,NA
2012,1,Alabama,87.2(å±5.3),81.7(å±6.0),60.5(å±7.1),46.6(å±10.4),36.9(å±10.1),31.1(å±9.9),69.1(å±14.0),17.8(å±9.3),NA,NA,NA
2012,2,Alaska,78.5(å±4.9),77.1(å±5.0),52.7(å±6.2),56.1(å±9.3),46.3(å±9.6),31.4(å±8.8),60.8(å±14.0),14.1(å±5.6),7.5(å±3.7),NA,NA
2012,4,Arizona,91.2(å±3.6),87.5(å±4.5),85.5(å±5.0),54.3(å±9.5),43.4(å±9.5),36.9(å±9.3),72.8(å±12.2),19.7(å±7.0),12.8(å±5.8),NA,NA
2012,5,Arkansas,69.8(å±6.4),64.4(å±6.8),37.5(å±7.0),41.2(å±10.7),32.4(å±10.0),18.3(å±7.2),48.0(å±17.8),12.7(å±6.6),NA,NA,NA
2012,6,California,92.7(å±3.4),89.4(å±3.8),76.0(å±5.5),65.0(å±8.3),48.4(å±8.8),35.8(å±8.4),58.0(å±11.4),29.4(å±7.4),19.3(å±6.4),11.7(å±5.2),49.5(å±16.8)
2012,8,Colorado,93.3(å±3.5),93.2(å±3.5),73.2(å±6.6),61.4(å±10.8),44.9(å±11.3),38.0(å±11.2),66.5(å±15.3),31.3(å±12.6),NA,NA,NA
2012,9,Connecticut,92.5(å±3.9),89.3(å±4.8),88.8(å±3.7),57.6(å±10.3),53.9(å±10.4),43.6(å±10.5),78.4(å±11.6),20.3(å±6.7),14.6(å±6.0),8.5(å±4.6),66.0(å±18.6)
2012,10,Delaware,85.0(å±5.1),77.8(å±5.9),78.0(å±6.2),67.2(å±9.8),64.5(å±9.9),50.4(å±10.2),76.6(å±10.8),26.2(å±7.5),17.9(å±6.7),10.7(å±4.9),49.2(å±18.6)
2012,11,Dist. of Columbia,90.4(å±4.4),84.5(å±5.2),92.1(å±3.3),57.8(å±10.1),52.8(å±10.1),38.5(å±9.7),69.5(å±11.7),33.8(å±9.7),12.3(å±6.1),4.8(å±2.5),25.0(å±14.3)
2012,12,Florida,93.4(å±3.8),86.8(å±5.1),68.6(å±6.8),39.4(å±10.1),33.4(å±9.6),25.3(å±8.8),70.4(å±13.8),21.4(å±9.3),15.4(å±8.2),NA,NA
2012,13,Georgia,87.9(å±4.6),80.5(å±6.0),73.1(å±6.8),52.3(å±10.8),36.8(å±9.8),29.0(å±9.0),59.0(å±14.2),19.5(å±8.5),8.7(å±4.7),NA,NA
2012,15,Hawaii,79.8(å±5.4),74.1(å±5.9),70.4(å±6.3),64.6(å±9.4),58.1(å±9.8),43.4(å±9.7),74.8(å±11.5),43.1(å±9.7),27.5(å±8.8),15.6(å±7.6),58.0(å±19.5)
2012,16,Idaho,70.7(å±5.8),64.5(å±6.1),63.2(å±6.3),51.3(å±9.5),41.6(å±9.6),27.8(å±8.2),62.0(å±16.6),16.2(å±7.5),NA,NA,NA
2012,17,Illinois,80.2(å±5.3),77.3(å±5.4),67.7(å±6.0),41.2(å±8.5),28.5(å±7.7),21.1(å±6.3),57.7(å±14.4),24.3(å±7.8),15.0(å±6.8),NA,60.0(å±23.5)
2012,18,Indiana,96.9(å±2.3),94.4(å±3.0),92.0(å±3.8),48.4(å±9.9),42.7(å±9.7),35.2(å±9.1),77.9(å±11.6),17.2(å±7.4),10.8(å±5.9),NA,NA
2012,19,Iowa,80.2(å±5.8),77.8(å±5.9),64.4(å±6.7),57.5(å±9.6),46.4(å±9.8),35.6(å±9.3),66.9(å±13.7),19.4(å±7.8),13.5(å±6.4),NA,NA
2012,20,Kansas,93.7(å±3.1),92.2(å±3.3),55.9(å±7.3),42.7(å±10.5),32.8(å±9.8),25.1(å±9.3),64.1(å±16.8),13.5(å±6.9),11.1(å±6.5),NA,NA
2012,21,Kentucky,86.0(å±4.7),80.0(å±5.6),62.9(å±6.8),51.2(å±10.6),43.5(å±10.5),34.9(å±9.9),73.4(å±14.4),NA,NA,NA,NA
2012,22,Louisiana,93.5(å±3.1),89.8(å±3.7),90.8(å±3.6),62.1(å±8.6),52.6(å±9.1),40.5(å±9.0),69.9(å±12.3),20.6(å±8.2),12.6(å±6.9),NA,NA
2012,23,Maine,84.7(å±5.3),79.5(å±5.9),73.7(å±6.1),61.7(å±9.4),53.4(å±9.7),41.8(å±9.6),74.5(å±12.4),25.3(å±7.9),17.4(å±7.0),12.1(å±6.2),NA
2012,24,Maryland,82.2(å±6.1),78.1(å±6.6),74.9(å±6.9),42.7(å±10.9),39.3(å±10.5),30.9(å±9.4),76.0(å±12.4),20.2(å±7.5),13.8(å±6.4),NA,NA
2012,25,Massachusetts,98.5(å±1.2),95.7(å±2.4),89.2(å±3.7),69.3(å±7.9),58.9(å±8.9),43.0(å±9.1),68.6(å±11.9),25.5(å±7.9),10.4(å±5.0),NA,NA
2012,26,Michigan,87.9(å±4.4),84.2(å±4.8),87.5(å±4.2),48.1(å±9.7),39.2(å±9.6),32.2(å±9.3),72.1(å±12.2),13.1(å±6.9),NA,NA,NA
2012,27,Minnesota,90.2(å±5.3),85.6(å±6.1),66.6(å±6.8),59.4(å±10.3),46.0(å±10.7),33.1(å±9.9),58.7(å±15.1),15.2(å±7.6),NA,NA,NA
2012,28,Mississippi,56.8(å±7.2),53.5(å±7.3),40.7(å±7.1),39.7(å±10.6),22.3(å±7.7),12.1(å±5.9),45.7(å±20.5),20.9(å±9.2),11.2(å±6.4),NA,NA
2012,29,Missouri,89.9(å±4.4),88.0(å±4.8),58.3(å±7.6),51.6(å±10.5),40.4(å±10.1),34.5(å±9.7),69.2(å±15.4),21.7(å±9.9),NA,NA,NA
2012,30,Montana,92.2(å±3.5),90.2(å±3.8),58.6(å±6.6),55.1(å±9.8),46.5(å±10.0),41.6(å±10.1),85.4(å±7.9),16.8(å±7.0),10.0(å±5.9),NA,NA
2012,31,Nebraska,85.2(å±5.3),81.4(å±5.8),75.5(å±6.1),67.5(å±10.0),58.3(å±10.7),37.3(å±10.0),61.2(å±14.8),19.6(å±6.9),11.6(å±5.0),7.0(å±3.7),NA
2012,32,Nevada,88.5(å±4.9),86.3(å±5.0),66.3(å±6.3),62.5(å±9.5),44.6(å±10.2),37.2(å±10.2),63.7(å±12.6),11.6(å±5.5),NA,NA,NA
2012,33,New Hampshire,97.0(å±2.0),96.3(å±2.2),83.1(å±5.6),52.2(å±10.6),43.6(å±10.4),34.5(å±9.7),69.8(å±13.5),20.5(å±7.3),12.2(å±5.5),NA,NA
2012,34,New Jersey,94.3(å±3.1),90.9(å±4.0),91.6(å±3.9),54.6(å±9.7),44.9(å±9.7),31.6(å±8.5),65.7(å±14.2),19.8(å±7.9),10.7(å±5.6),NA,NA
2012,35,New Mexico,91.4(å±4.1),82.6(å±5.6),54.2(å±7.0),51.1(å±10.1),38.7(å±9.4),30.3(å±8.7),59.7(å±13.5),20.2(å±8.1),12.8(å±7.0),NA,NA
2012,36,New York,93.3(å±2.6),90.3(å±2.9),78.5(å±4.1),56.0(å±7.1),50.5(å±7.2),39.7(å±7.2),76.5(å±7.8),17.9(å±5.1),12.3(å±4.6),NA,48.6(å±20.5)
2012,37,North Carolina,91.4(å±4.0),87.9(å±4.5),68.2(å±6.4),53.3(å±9.7),46.5(å±9.8),35.5(å±9.5),74.8(å±12.5),18.8(å±7.1),11.8(å±5.7),8.6(å±5.0),NA
2012,38,North Dakota,92.2(å±4.5),89.5(å±5.0),88.1(å±4.9),60.3(å±9.8),49.7(å±10.0),40.9(å±9.6),76.6(å±11.4),18.6(å±7.4),13.1(å±6.8),NA,NA
2012,39,Ohio,78.9(å±6.4),73.8(å±6.7),66.4(å±6.9),56.4(å±10.4),39.5(å±10.7),31.9(å±10.5),67.6(å±13.9),15.2(å±6.7),6.9(å±3.9),NA,NA
2012,40,Oklahoma,78.8(å±5.5),77.1(å±5.6),63.8(å±6.7),55.1(å±9.5),49.5(å±9.6),38.4(å±9.4),75.3(å±10.7),24.4(å±7.6),14.8(å±6.0),10.6(å±5.4),52.5(å±19.2)
2012,41,Oregon,88.8(å±3.8),86.0(å±4.5),58.3(å±6.3),58.5(å±9.3),46.7(å±9.5),38.6(å±9.3),69.8(å±11.3),14.5(å±5.9),7.2(å±4.2),NA,NA
2012,42,Pennsylvania,91.4(å±3.1),88.4(å±3.4),89.4(å±3.6),57.4(å±8.0),52.1(å±8.2),44.6(å±8.2),81.4(å±8.3),21.9(å±6.0),13.2(å±4.8),5.3(å±2.8),32.0(å±15.4)
2012,44,Rhode Island,96.9(å±2.1),94.0(å±2.9),94.3(å±2.9),73.7(å±9.4),67.8(å±9.8),57.7(å±10.0),80.6(å±9.5),55.2(å±9.2),34.8(å±8.7),17.7(å±6.3),42.1(å±14.3)
2012,45,South Carolina,67.9(å±7.1),64.9(å±7.2),58.5(å±7.3),41.9(å±10.6),31.6(å±9.8),26.6(å±9.5),69.0(å±16.2),18.1(å±8.8),15.9(å±8.5),NA,NA
2012,46,South Dakota,68.3(å±6.3),65.9(å±6.5),40.0(å±6.8),51.0(å±10.1),46.5(å±10.1),31.8(å±9.3),64.2(å±14.2),19.8(å±8.2),10.7(å±6.1),NA,NA
2012,47,Tennessee,79.7(å±6.0),77.4(å±6.2),69.4(å±6.7),54.3(å±11.0),40.9(å±10.7),28.6(å±9.4),56.1(å±15.1),20.3(å±8.8),NA,NA,NA
2012,48,Texas,88.1(å±2.9),82.5(å±3.3),84.6(å±3.3),51.2(å±5.8),41.2(å±5.7),30.3(å±5.3),61.4(å±8.3),24.0(å±5.0),14.2(å±4.1),7.0(å±2.4),36.2(å±12.1)
2012,0,US National,88.5(å±0.8),84.6(å±0.9),74.0(å±1.1),53.8(å±1.9),43.4(å±1.9),33.4(å±1.7),66.7(å±2.6),20.8(å±1.5),12.7(å±1.3),6.8(å±1.0),45.1(å±5.0)
2012,49,Utah,84.9(å±5.8),81.5(å±6.3),56.5(å±7.0),44.3(å±10.4),39.0(å±10.0),24.1(å±8.4),54.9(å±15.2),NA,NA,NA,NA
2012,50,Vermont,94.5(å±3.5),93.1(å±3.6),72.6(å±6.1),66.4(å±9.0),58.0(å±9.3),46.2(å±9.6),76.5(å±9.7),25.7(å±8.2),19.4(å±7.8),10.6(å±5.6),NA
2012,51,Virginia,91.1(å±4.1),88.7(å±4.3),62.1(å±7.4),50.9(å±10.9),38.0(å±10.3),27.9(å±9.2),57.9(å±16.0),12.1(å±5.8),NA,NA,NA
2012,53,Washington,89.5(å±4.8),86.0(å±5.1),71.2(å±6.6),64.5(å±10.1),54.6(å±10.1),43.5(å±9.8),70.1(å±11.3),14.9(å±6.2),9.6(å±5.4),NA,NA
2012,54,West Virginia,73.6(å±6.8),68.2(å±7.1),64.1(å±7.4),45.2(å±10.6),41.2(å±10.6),36.1(å±10.2),81.6(å±13.0),18.3(å±8.5),NA,NA,NA
2012,55,Wisconsin,92.6(å±3.7),89.8(å±4.4),74.4(å±6.2),50.5(å±10.8),45.0(å±10.7),37.5(å±10.5),78.9(å±11.4),19.3(å±8.0),10.3(å±5.8),NA,NA
2012,56,Wyoming,88.4(å±4.5),85.4(å±4.8),59.0(å±6.6),53.9(å±10.0),41.4(å±9.6),30.3(å±8.7),59.7(å±14.0),11.2(å±4.9),NA,NA,NA
2013,1,Alabama,90.6(å±4.0),87.3(å±4.5),69.5(å±6.0),54.7(å±9.2),46.6(å±9.2),39.6(å±9.0),73.4(å±10.4),18.4(å±6.9),10.9(å±5.2),NA,NA
2013,2,Alaska,77.8(å±5.5),74.3(å±5.8),55.2(å±6.5),52.2(å±9.4),36.1(å±9.0),27.1(å±8.2),59.2(å±13.7),27.6(å±7.9),17.8(å±6.9),8.5(å±4.7),46.6(å±20.1)
2013,4,Arizona,88.5(å±4.6),84.4(å±5.0),86.7(å±4.6),64.1(å±8.7),47.9(å±9.5),37.4(å±9.2),59.4(å±12.7),44.4(å±8.7),33.5(å±8.4),19.5(å±6.9),56.2(å±14.9)
2013,5,Arkansas,78.9(å±5.3),77.7(å±5.3),40.4(å±6.5),44.3(å±9.3),35.4(å±8.9),24.4(å±8.0),57.0(å±14.6),17.7(å±7.5),NA,NA,NA
2013,6,California,91.4(å±4.4),91.1(å±4.4),80.9(å±5.7),67.6(å±9.4),57.3(å±10.0),45.8(å±10.2),71.5(å±11.3),50.9(å±9.7),33.2(å±9.7),16.6(å±8.0),38.7(å±16.0)
2013,8,Colorado,90.5(å±3.8),87.1(å±4.4),73.6(å±5.6),58.2(å±8.6),50.0(å±8.8),39.1(å±8.7),70.9(å±11.5),33.5(å±8.6),21.7(å±7.5),9.9(å±4.8),39.4(å±17.2)
2013,9,Connecticut,93.2(å±3.7),90.8(å±4.3),90.6(å±4.2),56.0(å±9.2),49.0(å±9.3),40.1(å±9.1),76.3(å±11.3),52.3(å±9.2),36.4(å±8.9),23.4(å±7.9),51.0(å±14.7)
2013,10,Delaware,87.7(å±4.2),84.4(å±4.6),81.8(å±5.1),68.7(å±8.1),59.4(å±8.7),51.7(å±8.9),81.6(å±9.1),37.1(å±8.5),25.0(å±7.5),18.1(å±6.8),62.1(å±14.3)
2013,11,Dist. of Columbia,87.2(å±7.4),83.1(å±8.3),91.3(å±7.0),55.6(å±14.6),43.0(å±14.4),30.2(å±12.3),61.8(å±22.0),67.7(å±13.9),40.2(å±14.5),24.5(å±13.0),46.6(å±20.2)
2013,12,Florida,88.0(å±5.1),84.8(å±5.4),72.3(å±6.4),49.7(å±10.2),40.7(å±10.0),34.3(å±9.8),78.8(å±10.9),27.8(å±8.6),16.0(å±6.6),13.2(å±6.2),61.7(å±20.5)
2013,13,Georgia,85.1(å±6.2),82.0(å±6.6),76.9(å±7.0),53.7(å±10.8),42.3(å±10.4),33.2(å±9.5),65.1(å±14.9),40.5(å±11.5),31.0(å±10.7),15.3(å±8.2),40.9(å±19.0)
2013,15,Hawaii,82.1(å±5.3),80.2(å±5.4),75.0(å±6.0),52.7(å±10.1),46.6(å±10.0),34.4(å±9.5),70.3(å±12.5),39.7(å±8.9),29.0(å±8.1),15.1(å±6.0),47.2(å±15.5)
2013,16,Idaho,82.5(å±5.9),74.6(å±6.6),71.6(å±7.0),55.0(å±10.6),45.8(å±10.5),31.3(å±9.6),58.1(å±14.5),34.5(å±10.2),21.6(å±8.8),NA,NA
2013,17,Illinois,90.2(å±3.6),86.2(å±4.2),79.0(å±4.5),53.2(å±7.6),42.6(å±7.5),33.8(å±7.2),69.3(å±10.6),34.8(å±7.5),21.2(å±6.6),16.5(å±6.4),56.6(å±14.4)
2013,18,Indiana,92.8(å±3.0),90.6(å±3.3),93.5(å±2.7),54.1(å±8.3),44.2(å±8.2),34.6(å±7.7),71.2(å±11.2),18.2(å±6.3),13.5(å±5.6),8.1(å±4.3),NA
2013,19,Iowa,80.2(å±5.0),79.6(å±5.0),63.6(å±5.9),57.0(å±8.7),52.2(å±8.8),41.9(å±8.8),81.3(å±9.7),30.3(å±8.0),24.0(å±7.3),13.7(å±5.4),53.6(å±17.8)
2013,20,Kansas,86.8(å±4.6),84.6(å±4.9),55.9(å±6.8),39.9(å±9.9),29.9(å±9.2),21.0(å±8.2),58.5(å±16.9),25.1(å±8.6),19.3(å±7.8),NA,NA
2013,21,Kentucky,88.2(å±4.6),84.4(å±5.1),71.2(å±6.3),47.6(å±9.8),38.6(å±9.5),26.8(å±8.5),62.1(å±14.1),19.0(å±7.4),10.8(å±5.2),NA,NA
2013,22,Louisiana,88.2(å±4.5),87.9(å±4.5),87.7(å±4.4),59.8(å±9.2),54.1(å±9.6),42.1(å±9.8),74.8(å±11.6),27.0(å±8.1),20.5(å±7.6),13.5(å±6.6),59.8(å±18.7)
2013,23,Maine,85.6(å±4.4),83.0(å±4.7),71.2(å±5.6),60.2(å±8.8),55.4(å±8.9),45.8(å±8.8),81.0(å±8.5),42.2(å±8.5),31.1(å±7.9),17.6(å±6.0),48.0(å±14.5)
2013,24,Maryland,86.7(å±5.9),83.2(å±6.2),78.0(å±6.6),50.0(å±11.5),45.5(å±11.4),33.4(å±10.7),71.5(å±15.1),34.2(å±10.2),23.1(å±9.0),NA,39.4(å±20.5)
2013,25,Massachusetts,97.3(å±2.1),94.9(å±2.6),89.6(å±3.6),62.3(å±8.3),48.9(å±8.6),39.3(å±8.4),73.5(å±10.5),52.8(å±8.2),37.8(å±8.0),21.8(å±7.0),63.8(å±13.2)
2013,26,Michigan,88.7(å±4.2),81.0(å±5.2),90.7(å±3.9),66.0(å±9.1),49.4(å±9.9),34.5(å±9.4),53.3(å±12.9),30.0(å±8.1),16.8(å±6.7),7.7(å±4.5),31.8(å±16.6)
2013,27,Minnesota,93.9(å±3.4),91.4(å±3.8),66.3(å±6.2),59.3(å±9.3),45.8(å±9.4),37.6(å±9.0),70.2(å±12.1),22.0(å±6.7),13.1(å±5.6),8.6(å±4.5),48.8(å±19.7)
2013,28,Mississippi,61.0(å±6.7),60.2(å±6.7),50.1(å±6.9),53.1(å±9.5),35.6(å±9.3),25.2(å±8.6),54.1(å±14.6),13.6(å±6.6),NA,NA,NA
2013,29,Missouri,82.8(å±5.3),81.5(å±5.4),60.7(å±7.1),46.1(å±10.6),38.1(å±10.1),28.8(å±9.0),64.5(å±16.5),20.5(å±7.7),NA,NA,NA
2013,30,Montana,87.0(å±4.9),84.3(å±5.1),51.6(å±6.6),45.8(å±9.6),37.9(å±9.0),28.3(å±8.1),65.3(å±13.8),23.8(å±8.1),17.2(å±7.0),9.4(å±4.6),48.5(å±22.0)
2013,31,Nebraska,88.7(å±4.3),86.1(å±4.7),77.5(å±5.2),65.1(å±9.2),55.3(å±9.3),41.5(å±9.1),68.0(å±11.1),38.2(å±8.7),26.4(å±7.8),19.7(å±7.2),60.0(å±14.8)
2013,32,Nevada,90.1(å±3.6),88.3(å±4.1),64.0(å±6.1),53.8(å±9.4),38.9(å±9.2),27.4(å±8.3),56.5(å±13.6),31.9(å±8.5),20.4(å±7.2),7.3(å±3.9),31.8(å±16.0)
2013,33,New Hampshire,97.6(å±1.7),94.7(å±2.9),85.6(å±4.4),68.0(å±8.3),57.2(å±8.6),43.2(å±8.6),67.2(å±10.1),41.4(å±8.4),28.5(å±7.9),17.8(å±6.7),54.5(å±15.3)
2013,34,New Jersey,90.5(å±4.4),85.5(å±5.3),91.8(å±4.1),45.8(å±9.7),39.1(å±9.6),31.4(å±9.2),72.4(å±13.5),32.4(å±8.9),25.7(å±8.4),14.2(å±7.0),51.3(å±18.5)
2013,35,New Mexico,89.5(å±4.1),85.6(å±4.5),70.9(å±5.6),67.1(å±8.6),56.1(å±9.2),44.3(å±9.2),69.7(å±10.3),31.4(å±7.6),27.0(å±7.2),19.2(å±6.6),62.5(å±13.6)
2013,36,New York,93.2(å±2.3),89.5(å±2.9),83.3(å±3.4),61.7(å±6.2),55.6(å±6.4),45.4(å±6.6),78.5(å±7.7),38.6(å±6.1),29.3(å±5.8),19.1(å±5.1),62.0(å±11.2)
2013,37,North Carolina,91.7(å±3.6),89.4(å±4.0),72.4(å±5.7),59.3(å±9.5),47.4(å±9.7),32.8(å±9.1),56.8(å±13.2),33.2(å±8.8),24.4(å±8.0),12.4(å±6.3),41.3(å±17.3)
2013,38,North Dakota,96.2(å±2.2),95.0(å±2.9),93.7(å±3.2),57.5(å±9.4),51.0(å±9.4),41.1(å±9.1),76.7(å±10.6),36.1(å±9.1),26.6(å±8.4),18.4(å±7.5),65.6(å±17.9)
2013,39,Ohio,86.9(å±4.6),84.4(å±4.9),69.2(å±6.1),54.8(å±9.3),47.6(å±9.4),35.0(å±8.8),69.4(å±13.2),26.5(å±8.2),19.7(å±7.1),14.7(å±6.4),64.2(å±19.7)
